Date : 2025-12-01 15:27:38
Directory : /home/denis/vscode_projects/project-game-atlas/packages/backend
Total : 315 files,  15495 codes, 423 comments, 2773 blanks, all 18691 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |          3 |      7,544 |        273 |      1,027 |      8,844 |
| TypeScript         |        290 |      7,246 |          3 |      1,565 |      8,814 |
| MS SQL             |         16 |        268 |        146 |        112 |        526 |
| JSON               |          4 |        243 |          0 |          1 |        244 |
| Prisma             |          1 |        184 |          1 |         67 |        252 |
| JSON with Comments |          1 |         10 |          0 |          1 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                   |        315 |     15,495 |        423 |      2,773 |     18,691 |
| . (Files)                                                                                                                                                                                                           |          6 |        161 |          0 |          6 |        167 |
| dist                                                                                                                                                                                                                |          2 |      7,636 |        273 |      1,023 |      8,932 |
| prisma                                                                                                                                                                                                              |         17 |        452 |        147 |        179 |        778 |
| prisma (Files)                                                                                                                                                                                                      |          1 |        184 |          1 |         67 |        252 |
| prisma/migrations                                                                                                                                                                                                   |         16 |        268 |        146 |        112 |        526 |
| prisma/migrations/20251116223958_initial_setup                                                                                                                                                                      |          1 |        171 |         37 |         53 |        261 |
| prisma/migrations/20251116230647_added_personal_library_entities                                                                                                                                                    |          1 |         23 |          8 |         10 |         41 |
| prisma/migrations/20251117182821_removed_platform_logo_model                                                                                                                                                        |          1 |          4 |         11 |          4 |         19 |
| prisma/migrations/20251117191046_removed_unique_from_platform                                                                                                                                                       |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20251117204318_changed_in_age_rating_categories_rating_from_float_to_string                                                                                                                       |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20251117205815_removed_unique_field_for_age_rating                                                                                                                                                |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20251118113518_removed_age_ratings_and_added_keywords                                                                                                                                             |          1 |         26 |         18 |         12 |         56 |
| prisma/migrations/20251118114413_removed_description_field_from_keyword                                                                                                                                             |          1 |          1 |          7 |          1 |          9 |
| prisma/migrations/20251118160500_renamed_password_field_in_user_model                                                                                                                                               |          1 |          2 |          8 |          1 |         11 |
| prisma/migrations/20251119124334_added_note_field_optional_in_personal_lib_game_and_removed_table_personal_note                                                                                                     |          1 |          4 |         10 |          4 |         18 |
| prisma/migrations/20251119161328_added_new_enums_for_analytics                                                                                                                                                      |          1 |          3 |          3 |          3 |          9 |
| prisma/migrations/20251119211924_added_otp_codes                                                                                                                                                                    |          1 |         10 |          2 |          3 |         15 |
| prisma/migrations/20251120174249_                                                                                                                                                                                   |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20251121102319_refactored_naming_of_enums                                                                                                                                                         |          1 |         12 |         16 |          9 |         37 |
| prisma/migrations/20251126175519_removed_username                                                                                                                                                                   |          1 |          2 |          8 |          2 |         12 |
| prisma/migrations/20251127202004_                                                                                                                                                                                   |          1 |          6 |         14 |          6 |         26 |
| src                                                                                                                                                                                                                 |        290 |      7,246 |          3 |      1,565 |      8,814 |
| src (Files)                                                                                                                                                                                                         |          1 |         44 |          0 |         10 |         54 |
| src/app                                                                                                                                                                                                             |        289 |      7,202 |          3 |      1,555 |      8,760 |
| src/app (Files)                                                                                                                                                                                                     |          1 |         34 |          0 |          1 |         35 |
| src/app/config                                                                                                                                                                                                      |          5 |         67 |          0 |         11 |         78 |
| src/app/config/env                                                                                                                                                                                                  |          3 |         39 |          0 |          7 |         46 |
| src/app/config/env (Files)                                                                                                                                                                                          |          1 |         15 |          0 |          1 |         16 |
| src/app/config/env/enums                                                                                                                                                                                            |          1 |         14 |          0 |          4 |         18 |
